"Date","Price","Open","High","Low","Vol.","Change %"
"08/25/2023","285.50","286.13","288.39","276.03","23.70M","-0.44%"
"08/24/2023","286.75","298.50","299.46","286.64","18.36M","-2.55%"
"08/23/2023","294.24","288.50","297.40","287.67","18.29M","2.31%"
"08/22/2023","287.60","292.55","292.90","286.75","13.00M","-0.79%"
"08/21/2023","289.90","283.45","290.50","281.85","20.18M","2.35%"
"08/18/2023","283.25","279.03","285.69","274.38","35.35M","-0.65%"
"08/17/2023","285.09","293.05","296.05","284.95","23.95M","-3.13%"
"08/16/2023","294.29","300.20","301.08","294.28","18.55M","-2.54%"
"08/15/2023","301.95","306.14","307.23","300.03","11.62M","-1.38%"
"08/14/2023","306.19","300.98","306.21","298.25","15.64M","1.51%"
"08/11/2023","301.64","302.57","304.72","300.36","14.05M","-1.34%"
"08/10/2023","305.74","307.94","312.34","303.87","14.36M","0.17%"
"08/09/2023","305.21","312.88","313.63","302.85","19.96M","-2.38%"
"08/08/2023","312.64","314.40","317.89","310.11","15.18M","-1.24%"
"08/07/2023","316.56","313.23","317.07","310.46","16.24M","1.88%"
"08/04/2023","310.73","314.96","318.41","310.20","17.61M","-0.79%"
"08/03/2023","313.19","309.93","315.95","309.93","15.22M","-0.36%"
"08/02/2023","314.31","318.00","318.39","310.65","20.46M","-2.60%"
"08/01/2023","322.71","317.54","324.14","314.66","22.89M","1.29%"
"07/31/2023","318.60","323.69","325.66","317.59","25.80M","-2.11%"
"07/28/2023","325.48","316.88","326.20","314.25","39.22M","4.42%"
"07/27/2023","311.71","325.12","325.35","309.84","64.23M","4.40%"
"07/26/2023","298.57","301.19","301.77","291.90","47.26M","1.39%"
"07/25/2023","294.47","295.19","298.30","291.86","19.59M","0.98%"
"07/24/2023","291.61","295.78","297.52","288.30","24.95M","-0.90%"
"07/21/2023","294.26","304.57","305.46","291.20","42.14M","-2.73%"
"07/20/2023","302.52","313.50","315.54","302.22","23.84M","-4.27%"
"07/19/2023","316.01","313.03","318.68","310.52","21.76M","1.27%"
"07/18/2023","312.05","310.88","314.20","307.62","20.76M","0.46%"
"07/17/2023","310.62","307.54","311.71","304.71","25.32M","0.57%"
"07/14/2023","308.87","311.79","314.88","307.36","23.05M","-1.45%"
"07/13/2023","313.41","313.62","316.24","310.29","30.28M","1.32%"
"07/12/2023","309.34","301.74","309.45","300.10","36.68M","3.70%"
"07/11/2023","298.29","293.90","300.18","291.90","27.59M","1.42%"
"07/10/2023","294.10","295.55","298.13","287.05","37.06M","1.23%"
"07/07/2023","290.53","292.18","296.20","288.66","25.59M","-0.50%"
"07/06/2023","291.99","295.89","298.12","291.31","47.73M","-0.81%"
"07/05/2023","294.37","287.65","298.12","286.36","33.87M","2.92%"
"07/03/2023","286.02","286.70","289.40","284.85","8.63M","-0.33%"
"06/30/2023","286.98","284.76","289.05","284.42","19.69M","1.94%"
"06/29/2023","281.53","284.50","286.57","280.69","15.40M","-1.32%"
"06/28/2023","285.29","284.82","289.55","284.06","16.72M","-0.61%"
"06/27/2023","287.05","282.01","289.35","280.65","26.11M","3.08%"
"06/26/2023","278.47","288.70","289.79","277.60","24.23M","-3.55%"
