"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2024","191.86","192.27","194.46","190.79","7.45M","0.06%"
"04/30/2024","191.74","192.81","194.99","191.64","8.15M","-0.80%"
"04/29/2024","193.28","193.48","194.26","192.43","5.41M","-0.11%"
"04/26/2024","193.49","193.57","194.87","193.06","6.41M","0.06%"
"04/25/2024","193.37","192.25","193.93","191.18","9.80M","0.15%"
"04/24/2024","193.08","190.53","193.23","190.17","6.96M","0.49%"
"04/23/2024","192.14","191.13","192.23","190.52","9.14M","1.44%"
"04/22/2024","189.41","185.99","190.13","185.98","11.53M","1.94%"
"04/19/2024","185.80","182.40","185.88","181.41","13.40M","2.51%"
"04/18/2024","181.25","181.10","183.36","179.97","9.56M","0.65%"
"04/17/2024","180.08","181.37","182.42","179.20","9.02M","-0.40%"
"04/16/2024","180.80","182.90","183.16","179.65","16.45M","-1.14%"
"04/15/2024","182.89","184.50","187.46","182.20","14.77M","0.05%"
"04/12/2024","182.79","188.32","188.93","182.54","31.53M","-6.47%"
"04/11/2024","195.43","196.00","196.57","193.24","10.14M","-0.02%"
"04/10/2024","195.47","195.55","197.07","194.18","7.68M","-0.85%"
"04/09/2024","197.15","198.07","198.88","194.91","7.36M","-0.67%"
"04/08/2024","198.48","197.62","198.98","197.62","8.00M","0.52%"
"04/05/2024","197.45","196.16","198.12","195.11","6.53M","0.92%"
"04/04/2024","195.65","199.15","199.68","195.55","9.24M","-1.34%"
"04/03/2024","198.30","199.04","199.56","197.70","9.35M","-0.28%"
"04/02/2024","198.86","198.39","199.78","198.08","7.01M","-0.04%"
"04/01/2024","198.94","199.99","200.94","198.57","7.31M","-0.68%"
"03/28/2024","200.30","199.49","200.72","198.54","8.63M","0.39%"
"03/27/2024","199.52","196.50","199.60","196.38","8.73M","1.94%"
"03/26/2024","195.73","194.59","196.66","194.06","5.96M","0.47%"
"03/25/2024","194.82","196.60","196.94","194.36","8.62M","-0.92%"
"03/22/2024","196.62","199.01","200.48","196.54","8.11M","-1.23%"
"03/21/2024","199.06","196.52","199.43","196.33","11.20M","1.39%"
"03/20/2024","196.33","194.19","196.56","193.61","9.37M","1.31%"
"03/19/2024","193.79","192.71","193.93","192.38","8.48M","0.59%"
"03/18/2024","192.66","190.63","192.70","189.89","9.01M","1.24%"
"03/15/2024","190.30","186.48","190.94","186.48","17.21M","1.24%"
"03/14/2024","187.97","191.03","191.63","187.10","10.31M","-1.78%"
"03/13/2024","191.38","190.36","191.73","189.84","7.80M","0.81%"
"03/12/2024","189.84","188.95","190.16","187.91","5.71M","0.82%"
"03/11/2024","188.29","187.28","188.44","186.22","5.76M","0.04%"
"03/08/2024","188.22","188.44","190.46","187.92","6.17M","0.19%"
"03/07/2024","187.87","189.91","190.50","186.63","7.62M","-0.88%"
"03/06/2024","189.53","189.25","190.07","187.63","7.57M","0.52%"
"03/05/2024","188.55","186.36","189.30","186.36","6.62M","1.00%"
"03/04/2024","186.68","184.71","187.59","184.27","7.06M","0.75%"
"03/01/2024","185.29","185.70","186.44","185.10","6.31M","-0.41%"
"02/29/2024","186.06","185.66","186.43","183.85","9.64M","0.91%"
"02/28/2024","184.38","183.43","185.20","182.96","6.13M","0.51%"
"02/27/2024","183.45","183.31","183.54","182.24","5.72M","0.05%"
"02/26/2024","183.36","183.75","184.46","182.48","7.15M","-0.34%"
"02/23/2024","183.99","183.81","185.20","183.19","7.11M","0.50%"
"02/22/2024","183.07","181.82","183.42","181.24","9.30M","1.20%"
"02/21/2024","180.90","179.95","180.99","178.52","7.03M","0.65%"
"02/20/2024","179.73","179.19","180.46","178.40","9.67M","0.39%"
"02/16/2024","179.03","179.61","179.98","178.16","8.15M","-0.47%"
"02/15/2024","179.87","176.15","180.21","176.15","8.72M","2.18%"
"02/14/2024","176.03","175.07","176.10","174.42","7.06M","1.02%"
"02/13/2024","174.26","175.32","176.23","172.62","8.40M","-0.87%"
"02/12/2024","175.79","174.78","176.81","173.70","8.54M","0.45%"
"02/09/2024","175.01","175.00","175.10","173.67","6.30M","0.12%"
"02/08/2024","174.80","175.00","175.31","173.57","6.06M","-0.36%"
"02/07/2024","175.43","175.69","175.87","173.96","7.23M","0.19%"
"02/06/2024","175.10","174.61","175.87","173.76","6.77M","0.34%"
"02/05/2024","174.50","173.86","175.09","172.92","7.82M","-0.13%"
"02/02/2024","174.73","173.30","175.82","173.26","8.61M","0.58%"
"02/01/2024","173.73","173.64","174.84","171.43","9.35M","-0.36%"
"01/31/2024","174.36","176.20","178.30","174.34","11.52M","-1.08%"
"01/30/2024","176.27","172.83","176.76","172.83","10.82M","2.05%"
"01/29/2024","172.73","172.24","172.84","171.30","6.97M","0.26%"
"01/26/2024","172.28","172.61","173.06","171.78","7.44M","-0.38%"
"01/25/2024","172.94","172.31","172.99","170.90","8.87M","1.43%"
"01/24/2024","170.50","169.36","171.01","168.86","9.97M","0.89%"
"01/23/2024","168.99","169.67","169.75","168.44","8.36M","-0.66%"
"01/22/2024","170.11","170.46","171.98","169.71","12.84M","-0.12%"
"01/19/2024","170.31","167.55","170.57","167.08","13.12M","1.73%"
"01/18/2024","167.42","167.12","167.53","165.24","9.38M","0.20%"
"01/17/2024","167.09","167.34","169.07","166.49","11.11M","-0.54%"
"01/16/2024","167.99","164.87","168.09","164.30","17.21M","-0.63%"
"01/12/2024","169.05","173.80","176.31","168.90","19.44M","-0.73%"
"01/11/2024","170.30","170.33","170.36","168.64","11.92M","-0.42%"
"01/10/2024","171.02","170.00","171.08","168.95","9.67M","0.21%"
"01/09/2024","170.66","171.62","171.79","170.10","9.92M","-0.79%"
"01/08/2024","172.02","172.02","172.36","169.49","11.23M","-0.15%"
"01/05/2024","172.27","171.47","173.38","171.47","10.07M","0.50%"
"01/04/2024","171.41","170.64","173.35","170.54","11.97M","0.05%"
"01/03/2024","171.33","171.86","172.04","170.37","9.85M","-0.44%"
"01/02/2024","172.08","169.09","172.17","168.91","9.98M","1.16%"
"12/29/2023","170.10","170.00","170.69","169.63","6.44M","-0.12%"
"12/28/2023","170.30","169.35","170.66","168.99","6.32M","0.53%"
"12/27/2023","169.40","167.84","169.47","167.58","6.43M","0.60%"
"12/26/2023","168.39","167.46","168.76","167.18","4.68M","0.59%"
"12/22/2023","167.40","167.50","168.23","167.23","6.58M","-0.06%"
"12/21/2023","167.50","166.84","168.09","165.68","7.60M","0.57%"
"12/20/2023","166.55","167.99","169.41","166.45","10.73M","-1.13%"
"12/19/2023","168.45","166.00","168.47","165.55","10.35M","1.34%"
"12/18/2023","166.23","165.92","167.13","165.63","8.47M","0.61%"
"12/15/2023","165.23","163.08","165.28","162.39","20.31M","0.76%"
"12/14/2023","163.99","161.83","164.84","161.71","13.64M","1.82%"
"12/13/2023","161.06","160.52","162.03","159.77","12.38M","0.34%"
"12/12/2023","160.52","159.23","160.65","158.88","10.22M","0.89%"
"12/11/2023","159.10","158.52","159.30","158.15","8.09M","0.37%"
"12/08/2023","158.52","157.26","158.78","156.98","7.37M","1.10%"
"12/07/2023","156.79","156.69","157.31","156.15","8.13M","0.31%"
"12/06/2023","156.31","158.84","159.22","156.00","9.37M","-1.05%"
"12/05/2023","157.97","157.26","158.50","156.97","9.14M","-0.01%"
"12/04/2023","157.99","156.02","158.05","155.88","9.61M","0.73%"
"12/01/2023","156.84","155.82","157.86","155.82","8.92M","0.49%"
"11/30/2023","156.08","154.91","156.13","154.38","9.87M","1.14%"
"11/29/2023","154.32","154.17","155.63","154.00","9.13M","0.51%"
"11/28/2023","153.54","153.22","153.87","152.72","6.58M","0.23%"
"11/27/2023","153.19","153.43","153.53","152.71","6.26M","-0.23%"
"11/24/2023","153.54","153.59","154.44","153.27","3.50M","0.14%"
"11/22/2023","153.33","153.41","153.88","152.90","5.18M","0.24%"
"11/21/2023","152.97","153.20","153.63","152.57","7.08M","-0.21%"
"11/20/2023","153.29","152.08","153.75","151.92","7.02M","0.31%"
"11/17/2023","152.82","152.20","152.86","151.54","7.81M","0.90%"
"11/16/2023","151.45","150.09","151.52","150.09","8.13M","1.14%"
"11/15/2023","149.74","148.46","150.16","148.46","8.37M","0.88%"
"11/14/2023","148.44","146.68","149.25","146.52","9.93M","1.82%"
"11/13/2023","145.78","145.70","146.25","145.16","6.68M","-0.44%"
"11/10/2023","146.43","144.94","146.48","144.08","7.98M","1.48%"
"11/09/2023","144.29","145.44","145.65","143.70","7.99M","-0.30%"
"11/08/2023","144.72","144.11","144.84","143.62","7.62M","0.49%"
"11/07/2023","144.01","143.51","144.26","142.82","6.30M","-0.05%"
"11/06/2023","144.08","143.17","144.19","142.79","7.63M","0.76%"
"11/03/2023","143.00","142.19","143.77","141.85","9.54M","1.12%"
"11/02/2023","141.42","140.09","141.48","139.23","10.19M","1.78%"
"11/01/2023","138.94","139.25","140.53","138.47","9.43M","-0.09%"
"10/31/2023","139.06","137.71","139.24","137.47","9.67M","1.19%"
"10/30/2023","137.42","136.44","138.04","136.04","9.86M","1.27%"
"10/27/2023","135.69","138.95","139.10","135.19","17.43M","-3.60%"
"10/26/2023","140.76","139.76","141.66","139.43","9.11M","0.26%"
