"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2024","389.33","401.49","402.16","389.17","28.78M","-3.21%"
"04/29/2024","402.25","405.25","406.32","399.19","19.58M","-1.00%"
"04/26/2024","406.32","412.17","413.00","405.76","29.69M","1.82%"
"04/25/2024","399.04","394.03","399.89","388.03","40.59M","-2.45%"
"04/24/2024","409.06","409.56","412.47","406.78","15.07M","0.37%"
"04/23/2024","407.57","404.23","408.20","403.06","15.73M","1.65%"
"04/22/2024","400.96","400.08","402.85","395.75","20.29M","0.46%"
"04/19/2024","399.12","404.03","405.48","397.77","30.57M","-1.27%"
"04/18/2024","404.27","410.63","411.89","403.95","21.03M","-1.84%"
"04/17/2024","411.84","417.25","418.88","410.33","15.86M","-0.66%"
"04/16/2024","414.58","414.57","418.40","413.73","16.77M","0.23%"
"04/15/2024","413.64","426.60","426.82","413.43","20.27M","-1.96%"
"04/12/2024","421.90","424.05","425.18","419.77","19.25M","-1.41%"
"04/11/2024","427.93","425.82","429.37","422.36","17.97M","1.10%"
"04/10/2024","423.26","422.19","424.03","419.70","16.22M","-0.71%"
"04/09/2024","426.28","426.44","427.74","421.62","12.51M","0.40%"
"04/08/2024","424.59","425.17","427.28","423.30","14.27M","-0.22%"
"04/05/2024","425.52","420.01","426.51","418.32","16.55M","1.83%"
"04/04/2024","417.88","424.99","428.67","417.57","19.37M","-0.61%"
"04/03/2024","420.45","419.73","423.26","419.08","16.50M","-0.23%"
"04/02/2024","421.44","420.11","422.38","417.84","17.91M","-0.74%"
"04/01/2024","424.57","423.95","427.89","422.22","16.32M","0.92%"
"03/28/2024","420.72","420.96","421.87","419.12","21.87M","-0.17%"
"03/27/2024","421.43","424.44","424.45","419.01","16.70M","-0.05%"
"03/26/2024","421.65","425.61","425.99","421.35","16.73M","-0.29%"
"03/25/2024","422.86","425.24","427.41","421.61","18.06M","-1.37%"
"03/22/2024","428.74","429.70","429.86","426.07","17.65M","-0.15%"
"03/21/2024","429.37","429.83","430.82","427.16","21.30M","0.97%"
"03/20/2024","425.23","422.00","425.96","420.66","17.86M","0.91%"
"03/19/2024","421.41","417.83","421.67","415.55","19.84M","0.98%"
"03/18/2024","417.32","414.25","420.73","413.78","20.11M","0.22%"
"03/15/2024","416.42","419.29","422.60","412.79","45.08M","-2.07%"
"03/14/2024","425.22","420.24","427.82","417.99","34.16M","2.44%"
"03/13/2024","415.10","418.10","418.18","411.45","17.12M","-0.04%"
"03/12/2024","415.28","407.62","415.57","406.79","22.46M","2.66%"
"03/11/2024","404.52","403.76","405.68","401.26","16.12M","-0.42%"
"03/08/2024","406.22","407.96","410.42","404.33","18.00M","-0.71%"
"03/07/2024","409.14","406.12","409.78","402.24","18.72M","1.75%"
"03/06/2024","402.09","402.97","405.16","398.39","22.34M","-0.14%"
"03/05/2024","402.65","413.96","414.25","400.64","26.92M","-2.96%"
"03/04/2024","414.92","413.44","417.35","412.32","17.60M","-0.14%"
"03/01/2024","415.50","411.27","415.87","410.88","17.82M","0.45%"
"02/29/2024","413.64","408.64","414.20","405.92","31.95M","1.45%"
"02/28/2024","407.72","408.17","409.30","405.32","13.18M","0.06%"
"02/27/2024","407.48","407.99","408.32","403.85","14.84M","-0.01%"
"02/26/2024","407.54","411.45","412.16","407.36","16.19M","-0.68%"
"02/23/2024","410.34","415.67","415.86","408.97","16.30M","-0.32%"
"02/22/2024","411.65","410.19","412.83","408.57","27.01M","2.35%"
"02/21/2024","402.18","400.17","402.29","397.22","18.63M","-0.15%"
"02/20/2024","402.79","403.24","404.49","398.01","24.31M","-0.31%"
"02/16/2024","404.06","407.96","408.29","403.44","22.30M","-0.61%"
"02/15/2024","406.56","408.14","409.13","404.29","21.83M","-0.72%"
"02/14/2024","409.49","408.07","409.84","404.57","20.40M","0.78%"
"02/13/2024","406.32","404.94","410.07","403.39","27.82M","-2.15%"
"02/12/2024","415.26","420.55","420.74","414.75","21.20M","-1.26%"
"02/09/2024","420.55","415.25","420.82","415.09","22.03M","1.56%"
"02/08/2024","414.11","414.05","415.56","412.53","21.23M","0.01%"
"02/07/2024","414.05","407.44","414.30","407.40","22.34M","2.11%"
"02/06/2024","405.49","405.88","407.97","402.91","18.38M","-0.04%"
"02/05/2024","405.65","409.90","411.16","403.99","25.35M","-1.35%"
"02/02/2024","411.22","403.81","412.65","403.56","28.26M","1.84%"
"02/01/2024","403.78","401.83","408.00","401.80","30.66M","1.56%"
"01/31/2024","397.58","406.96","415.32","397.21","47.87M","-2.69%"
"01/30/2024","408.59","412.26","413.05","406.45","33.48M","-0.28%"
"01/29/2024","409.72","406.06","409.98","404.33","24.51M","1.43%"
"01/26/2024","403.93","404.37","406.17","402.43","17.80M","-0.23%"
"01/25/2024","404.87","404.32","407.01","402.53","21.02M","0.57%"
"01/24/2024","402.56","401.54","405.63","400.45","24.87M","0.92%"
"01/23/2024","398.90","395.75","399.38","393.93","20.53M","0.60%"
"01/22/2024","396.51","400.02","400.62","393.59","27.02M","-0.54%"
"01/19/2024","398.67","395.76","398.67","393.50","29.33M","1.22%"
"01/18/2024","393.87","391.72","393.99","390.12","23.39M","1.13%"
"01/17/2024","389.47","387.98","390.11","384.81","22.23M","-0.20%"
"01/16/2024","390.27","393.66","394.03","387.62","27.20M","0.46%"
"01/12/2024","388.47","385.49","388.68","384.65","21.66M","1.00%"
"01/11/2024","384.63","386.00","390.68","380.38","27.85M","0.49%"
"01/10/2024","382.77","376.37","384.17","376.32","25.51M","1.86%"
"01/09/2024","375.79","372.01","375.99","371.19","20.83M","0.29%"
"01/08/2024","374.69","369.30","375.20","369.01","23.13M","1.89%"
"01/05/2024","367.75","368.97","372.06","366.50","21.00M","-0.05%"
"01/04/2024","367.94","370.67","373.10","367.17","20.90M","-0.72%"
"01/03/2024","370.60","369.01","373.26","368.51","23.08M","-0.07%"
"01/02/2024","370.87","373.86","375.90","366.77","25.26M","-1.37%"
"12/29/2023","376.04","376.00","377.16","373.48","18.73M","0.20%"
"12/28/2023","375.28","375.37","376.46","374.16","14.33M","0.32%"
"12/27/2023","374.07","373.69","375.06","372.81","14.91M","-0.16%"
