"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2024","109.38","109.03","110.72","108.80","17.76M","0.94%"
"06/17/2024","108.36","109.17","109.46","108.18","21.15M","-0.69%"
"06/14/2024","109.11","110.02","110.21","108.59","13.31M","-0.85%"
"06/13/2024","110.04","110.84","110.86","109.72","14.47M","-0.80%"
"06/12/2024","110.93","113.30","113.30","110.54","13.61M","-1.11%"
"06/11/2024","112.17","112.49","112.67","111.31","12.46M","-0.80%"
"06/10/2024","113.08","113.06","114.22","112.70","15.25M","0.29%"
"06/07/2024","112.75","113.79","114.89","112.67","13.29M","-1.07%"
"06/06/2024","113.97","112.75","114.04","112.11","13.15M","0.75%"
"06/05/2024","113.12","112.89","113.19","111.48","14.86M","0.40%"
"06/04/2024","112.67","113.00","113.09","110.92","19.41M","-1.56%"
"06/03/2024","114.45","116.30","116.36","113.76","19.59M","-2.40%"
"05/31/2024","117.26","114.12","117.49","113.99","29.04M","2.87%"
"05/30/2024","113.99","113.27","114.13","112.96","14.69M","0.32%"
"05/29/2024","113.63","114.53","114.54","112.81","13.90M","-1.07%"
"05/28/2024","114.86","113.52","115.11","113.07","13.98M","1.27%"
"05/24/2024","113.42","114.84","115.08","113.04","12.21M","-0.08%"
"05/23/2024","113.51","115.60","117.51","113.36","15.98M","-1.71%"
"05/22/2024","115.48","117.46","117.46","114.96","17.88M","-2.01%"
"05/21/2024","117.85","118.40","119.45","117.78","14.49M","-0.69%"
"05/20/2024","118.67","119.73","119.89","118.55","11.55M","-0.81%"
"05/17/2024","119.64","118.30","119.83","117.96","15.10M","1.50%"
"05/16/2024","117.87","118.54","119.30","117.54","15.75M","-0.60%"
"05/15/2024","118.58","117.61","118.84","116.08","18.24M","0.77%"
"05/14/2024","117.67","116.79","117.74","116.48","15.08M","-0.20%"
"05/13/2024","117.91","118.42","119.04","117.12","15.06M","-0.04%"
"05/10/2024","117.96","118.54","118.66","117.58","13.65M","-0.41%"
"05/09/2024","118.44","116.20","118.53","116.19","17.56M","1.97%"
"05/08/2024","116.15","115.71","116.95","115.41","18.96M","-0.02%"
"05/07/2024","116.17","117.28","117.58","115.93","30.12M","-0.50%"
"05/06/2024","116.75","116.67","118.34","116.40","31.40M","0.65%"
"05/03/2024","116.00","116.00","116.07","114.13","28.02M","-0.21%"
"05/02/2024","116.24","116.26","117.26","115.90","25.51M","0.18%"
"05/01/2024","116.03","118.28","118.47","115.66","27.79M","-1.89%"
"04/30/2024","118.27","119.11","120.20","117.98","21.08M","-1.15%"
"04/29/2024","119.64","117.76","120.05","117.76","17.34M","1.42%"
"04/26/2024","117.96","119.00","119.10","116.22","27.29M","-2.78%"
"04/25/2024","121.33","121.03","121.76","119.40","16.04M","0.23%"
"04/24/2024","121.05","120.30","121.25","119.39","12.10M","0.02%"
"04/23/2024","121.03","120.00","121.06","119.45","13.93M","0.39%"
"04/22/2024","120.56","119.26","121.57","118.43","16.34M","0.57%"
"04/19/2024","119.88","119.15","120.93","118.95","21.57M","1.15%"
"04/18/2024","118.52","119.00","119.72","117.97","13.82M","-0.09%"
"04/17/2024","118.63","118.55","119.35","117.12","14.54M","-0.05%"
"04/16/2024","118.69","119.56","120.22","117.92","18.08M","-0.83%"
"04/15/2024","119.68","121.09","121.69","119.45","15.03M","-0.57%"
"04/12/2024","120.37","122.95","123.75","119.67","21.56M","-1.17%"
"04/11/2024","121.79","122.69","122.69","120.34","17.56M","-0.34%"
"04/10/2024","122.20","121.22","122.47","120.73","17.41M","0.84%"
"04/09/2024","121.18","121.00","121.65","120.34","14.14M","0.52%"
"04/08/2024","120.55","121.08","121.74","120.21","17.51M","-0.68%"
"04/05/2024","121.37","119.98","122.15","119.64","21.72M","1.38%"
"04/04/2024","119.72","119.05","119.88","118.64","18.47M","0.35%"
"04/03/2024","119.30","119.48","119.75","118.73","16.50M","0.02%"
"04/02/2024","119.28","117.92","119.60","117.33","19.92M","1.96%"
"04/01/2024","116.99","116.41","117.24","115.38","13.82M","0.65%"
"03/28/2024","116.24","115.53","116.45","115.06","18.48M","1.10%"
"03/27/2024","114.97","113.48","115.06","113.41","12.42M","1.04%"
"03/26/2024","113.79","114.66","114.98","113.41","13.15M","-0.75%"
"03/25/2024","114.65","113.83","115.78","113.83","14.01M","1.02%"
"03/22/2024","113.49","113.48","113.68","112.82","14.70M","0.00%"
"03/21/2024","113.49","112.92","113.91","112.57","14.88M","0.44%"
"03/20/2024","112.99","112.72","113.40","112.13","16.12M","-0.09%"
"03/19/2024","113.09","112.22","113.49","112.06","14.88M","0.70%"
"03/18/2024","112.30","111.79","112.86","111.10","16.77M","0.93%"
"03/15/2024","111.27","110.85","112.30","110.85","38.26M","-0.18%"
"03/14/2024","111.47","109.83","111.55","109.69","22.12M","1.77%"
"03/13/2024","109.53","109.14","110.35","109.11","17.12M","1.12%"
"03/12/2024","108.32","109.06","109.28","108.03","14.96M","-0.64%"
"03/11/2024","109.02","108.25","109.12","107.34","17.58M","0.59%"
"03/08/2024","108.38","107.23","108.40","106.77","16.28M","0.94%"
"03/07/2024","107.37","106.60","107.98","106.60","15.20M","0.56%"
"03/06/2024","106.77","106.62","107.57","106.15","20.47M","1.07%"
"03/05/2024","105.64","104.53","106.27","104.32","19.95M","1.23%"
"03/04/2024","104.36","105.66","105.85","104.03","18.14M","-1.40%"
"03/01/2024","105.84","105.72","106.39","105.38","18.46M","1.26%"
"02/29/2024","104.52","104.68","105.07","104.21","17.57M","0.19%"
"02/28/2024","104.32","104.47","105.43","104.00","14.81M","0.28%"
"02/27/2024","104.03","104.68","105.15","103.85","16.36M","-0.21%"
"02/26/2024","104.25","103.72","104.93","103.05","13.36M","0.39%"
"02/23/2024","103.84","103.88","104.09","102.88","15.98M","-0.88%"
"02/22/2024","104.76","104.16","105.41","103.45","20.47M","-0.09%"
"02/21/2024","104.85","103.02","104.98","102.99","21.00M","2.04%"
"02/20/2024","102.75","103.84","104.12","102.64","17.65M","-0.94%"
"02/16/2024","103.73","104.01","104.63","103.52","20.15M","0.00%"
"02/15/2024","103.73","100.60","103.93","100.60","23.20M","2.87%"
"02/14/2024","100.84","101.87","102.61","100.42","17.65M","-0.49%"
"02/13/2024","101.34","102.76","103.09","100.60","18.92M","-1.77%"
"02/12/2024","103.17","102.16","103.40","102.00","18.17M","1.38%"
"02/09/2024","101.77","104.10","104.84","101.70","20.41M","-2.12%"
"02/08/2024","103.97","102.34","104.42","102.11","19.64M","1.71%"
"02/07/2024","102.22","102.25","102.73","101.18","13.83M","-0.03%"
"02/06/2024","102.25","102.07","103.04","101.57","13.35M","0.69%"
"02/05/2024","101.55","101.45","102.38","100.50","17.19M","-0.41%"
"02/02/2024","101.97","103.75","104.00","101.61","21.97M","-0.41%"
"02/01/2024","102.39","103.57","104.01","101.62","19.24M","-0.41%"
"01/31/2024","102.81","104.74","104.88","102.77","22.42M","-1.95%"
"01/30/2024","104.85","102.41","104.88","102.10","19.61M","1.67%"
"01/29/2024","103.13","102.98","103.20","101.86","18.32M","0.13%"
"01/26/2024","103.00","101.97","103.08","101.19","20.82M","0.85%"
"01/25/2024","102.13","100.31","102.18","99.61","22.09M","2.54%"
"01/24/2024","99.60","98.32","99.65","97.74","17.33M","1.73%"
"01/23/2024","97.91","96.81","98.50","96.73","15.86M","1.13%"
"01/22/2024","96.82","96.70","97.10","95.77","19.96M","-0.13%"
